movie_id,predictions
62693,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
296252,0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1
1356971,0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 1
1428872,0 1 0 1 1 0 1 1 0 1 1 0 0 0 1 1 0 1 1 1
1582173,1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0
1595142,0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0
1600825,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0
1681132,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1
2268290,0 1 0 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 1 1
3327607,1 1 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 1 1
3569957,1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 0 1 0
4413498,0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 0
4635580,1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1
4950989,0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0
5565692,1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
7003785,1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0
8269287,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1
9560197,0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1
10731337,1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
11192132,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
11272068,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
12324827,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1
13333148,0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1
13949859,1 1 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 1
15260151,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
15739815,0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 1
16706073,0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1
17341391,0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0
19286389,1 0 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 0
19940419,0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 1
20312589,1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1
20622279,1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1
22657516,1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0
22822894,1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1
23658166,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
23863620,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
24003057,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
24225138,1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1
24817139,0 1 0 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 1
24950437,1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1
25233202,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
27858537,0 1 1 1 0 1 0 0 1 0 0 0 1 1 1 0 0 1 1 0
27996231,1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0
28679286,0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
33280938,1 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1
33916241,0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
35968313,1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0
36344884,1 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0
68047,0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1
74848,1 1 0 1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 1
149789,1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1
235418,0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1
526277,1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1
1348418,1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1
1373219,0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 1
1880660,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1
2118149,0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1
