movie_id,predictions
62693,1 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1
296252,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1
1356971,1 1 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1
1428872,1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1
1582173,1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1
1595142,1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1
1600825,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1
1681132,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1
2268290,0 1 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 1 1 1
3327607,0 0 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1
3569957,1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1
4413498,0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 1 1
4635580,0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0
4950989,1 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 1
5565692,0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0
7003785,1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 1 1
8269287,0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1
9560197,0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1
10731337,0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0
11192132,1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0
11272068,1 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0
12324827,0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0
13333148,1 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1
13949859,0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 1 0
